id,columnname,descr_sdd2,descr_sdd1,sample_measurement,datatype,catalogue
256,proginfototsamplespositive,"this data element is an integer numerical data element. it is the total number of samples tested positive (i.e. individual swabs or single items in a batch) for the zoonotic agent from a given matrix and sampling context, in order to collect the bacterial isolates tested for antimicrobial susceptibility from a specific ms during the whole reporting year of the amr monitoring programme. the matrix may be an animal (e.g. broilers, laying hens, fattening pigs, calves < 1 year (level 2)) or a food category. please note that the same number for all isolates coming from the same sampling context should be reported so that data deriving from clinical investigations, for example, are not mixed with data deriving from epidemiological monitoring of amr. these data may be used to assess the prevalence of resistant bacteria, and each value should be less than or equal to the total number of samples tested.",,s,"number(10,0)",0
257,proginfototsamplestested,"this data element is an integer numerical data element. it is the total number of samples tested (i.e. individual swabs or single items in a batch) for the presence of the zoonotic agent from a given matrix and sampling context—whether positive or negative—in order to collect the bacterial isolates tested for antimicrobial susceptibility from a specific ms during the whole reporting year of the amr monitoring programme. the matrix may be an animal (e.g. broilers, laying hens, fattening pigs, calves < 1 year (level 2)) or a food category. these data may be used to assess the prevalence of resistant bacteria. please note that the same number for all isolates coming from the same sampling context should be reported, so that data deriving from clinical investigations, for example, are not mixed with data deriving from epidemiological monitoring of amr.",,s,"number(10,0)",0
258,proginfototsamplesunsuitable,it is the total number of samples which were not suitable for the analysis and the evaluation.,,s,number(10),0
259,proginfototunitspositive,"this data element is strongly recommended to report the information for the samples taken based on decision 2013/652/eu. it is an integer numerical data element. it is the total number of epidemiological units of interest (e.g. animal, flock, herd, slaughter batch, single, batch) investigated in relation to a given matrix, and tested positive for a bacterial species, during the whole reporting year exercise of the amr monitoring programme. these data may be used to assess the prevalence of resistant bacteria. please note that the same number should be reported for all isolates coming from the same monitoring context.",,s,"number(10,0)",0
260,proginfototunitstested,"this is a numerical field. it means the total number of biological samples investigated (e.g. carcass, fresh meat, faeces), within a specific reporting ms, for the presence of specific bacterial species, strains or serovars. samples may test positive or negative to the specific bacterial species, strain or serovar.",,s,"number(10,0)",0
261,proginfotsetargetgroup,"this attribute describes the type of group of animals sampled according to the definition of target groups as laid down in article 6 and 12, and chapter 1. ii of annex iii of the tse regulation.",,s,catalogue(400),targetgroup
262,resinfomlvaprofile,"this element should be completed when reporting the results of mlva analysis (e.g., for salmonella typhimurium). it is a free text field and provides the vector of the number of repeat units at each locus (e.g., mlvaprofile=8-11-na-na-211).",,m,text(50),0
263,resinfopercc,binary list to record whether determination of clonal complex for mrsa isolate has been performed through laboratory experiments (yes) or has been inferred from e.g. online databases (no).,,m,text(400),yesno
264,resinfopermlst,binary list to record whether determination of mlst type for mrsa isolate has been performed through laboratory experiments (yes) or has been inferred from e.g. online databases (no).,,m,text(400),yesno
265,resinforeftypeprov,the reference type assigned to the isolate by the data provider.,,m,text(50),0
266,resllwr,lower limit of the working range expressed in the unit specified by the element ‘result unit’.,,m,"number(20,10)",0
267,resrefidbaseattachmentid,"if the result is a complex structure, the base term contains the identification of the attachment containing the complex structure (e.g, in the molecular typing data collection, the attachment coluld be an image comprising the pfge profile of the isolate)",,m,text(100),0
268,resrefidlaneref,"in case the attachment is an image of the pfge profile of the isolate, the laneref facet identifies the lane within the image regarding the isolate the result refers to.",,m,text(5),0
269,sampeventinfobirthinflockherd,if the confirmed case was born in the flock/herd from which the samples/animals are collected/sampled.,,s,catalogue(400),yesno
270,sampeventinfobirthmonth,month of birth of the animal.,,s,number(2),0
271,sampeventinfobirthyear,year of birth of the animal.,,s,number(4),0
272,sampeventinfomedicstatus,medication status of the animal or flock/herd with reference to the last two weeks.,,s,text(400),param
273,sampeventinfostatusherd,status of holding/herd regarding infection.,,s,text(400),sustat
274,sampeventinfotrigresid,"link to the the original analytical results (expressed with their resids), i.e. the id of one or more non compliant results originating a follow-up sampling event.",,s,text(100),0
275,sampeventinfovaccstatus,status of animal or flock/herd regarding vaccination.,,s,text(400),yesno
